Idade,Genero,Valor_Medio_Compra,Num_Medio_Compras_por_Mes
35,0,45.2,2
49,1,55.1,3
27,0,42.8,4
52,0,52.5,1
60,1,48.3,3
22,1,58.7,2
40,0,47.9,3
31,0,42.1,4
59,1,51.6,2
45,1,53.7,1
21,0,46.8,3
56,0,44.5,4
33,1,48.9,2
39,1,51.3,3
48,0,47.2,2
25,0,50.6,3
41,1,53.8,1
36,1,54.4,2
29,0,45.0,4
55,0,49.7,1
42,1,48.1,3
38,0,56.9,2
28,0,54.2,4
50,1,49.5,3
37,0,47.8,2
26,1,43.7,1
34,1,52.3,4
53,1,50.8,2
44,0,45.5,3
30,0,57.1,2
25,1,49.9,3
40,0,51.1,4
54,1,55.2,1
39,0,48.6,3
33,0,46.3,4
58,1,54.5,2
48,1,49.2,1
30,0,46.9,3
55,0,51.4,4
49,1,47.5,2
36,1,53.6,1
52,0,45.7,3
26,0,49.8,4
45,1,48.2,2
31,1,54.3,1
57,0,52.6,3
41,0,50.5,4
23,1,47.1,2
35,1,48.9,1
56,0,56.3,3
39,0,52.7,4
29,1,47.2,2
45,0,50.8,1
32,1,45.6,3
59,1,48.1,4
34,0,53.4,2
51,0,51.2,1
37,1,54.7,3
21,1,49.3,4
47,0,48.5,2
27,0,46.8,1
53,1,47.9,3
43,0,52.3,4
30,0,55.8,2
58,1,49.7,1
44,1,45.9,3
28,0,52.2,4
50,1,47.4,2
33,0,49.5,1
42,0,54.1,3
35,1,52.9,4
55,0,48.3,2
38,0,49.8,1
24,1,46.7,3
46,0,52.5,4
32,1,48.9,2
58,1,53.6,1
43,0,55.1,3
27,0,50.2,4
52,1,49.8,2
36,0,47.9,1
30,1,45.3,3
57,1,53.8,4
41,0,52.6,2
23,0,48.7,1
35,1,49.1,3
22,1,50.0,4
25,1,47.6,2
39,0,49.2,1
32,1,50.8,3
48,0,46.5,4
29,0,52.3,2
34,1,51.9,1
44,0,48.7,3
36,0,53.6,2
31,1,49.4,4
55,1,52.1,1
28,1,50.3,3
47,0,45.9,4
41,1,53.5,2
